Corey Perry,R,15,1,1
Patrick Kane,R,13,1,1
Tyler Johnson,C,12,1,1
Zach Parise,L,10,2,2
Duncan Keith,D,10,2,2
Johnny Gaudreau,L,9,2,2
Ryan Kesler,C,9,2,2
Patrick Sharp,L,9,3,3
Joel Ward,R,9,3,3
Steven Stamkos,C,9,3,3
Nikita Kucherov,R,8,4,4
Alex Killorn,C,8,4,4
P.K. Subban,D,8,4,4
Kevin Shattenkirk,D,7,5,5
Jason Chimera,L,7,5,5
Kris Russell,D,7,5,5
Derek Stepan,C,7,5,5
Sami Vatanen,D,7,null,null
Marian Hossa,R,8,null, null
Derick Brassard,C,8,null,null
Alex Ovechkin,L,8,null,null
Rick Nash,L,7,null,null
